topic,topic_nome,blocco,domanda,pagina_pdf,opzioni,incipit
1,Conclusion,1,26,8,5,"Since 1995, Congress has exempted oil companies that have leases issued by the federal gov..."
1,Conclusion,1,27,8,5,Only those students who maintain 2.5 grade point averages are allowed to participate in sc...
1,Conclusion,1,28,8,5,Companies are often torn between the benefits of focusing on one major product or service...
1,Conclusion,1,29,9,5,"Calorie restriction, a diet high in nutrients but low in calories, is known to prolong the..."
1,Conclusion,1,30,9,5,"Last January, in an attempt to lower the number of traffic fatalities, the state legislatu..."
1,Conclusion,1,31,9,5,"In a certain state, hunting permits require the hunter to be at least 18 years old, posses..."
1,Conclusion,1,32,9,5,The public often protests when an unregulated service industry is found to be corrupt. How...
1,Conclusion,1,33,9,5,A certain medication used to treat migraine headaches acts by blocking pain receptors in t...
1,Conclusion,1,34,10,5,"Educator: Like any other difficult pursuit, music requires intense study and practice in o..."
1,Conclusion,1,35,10,5,Improved technology and equipment often result in fewer injuries during high-risk activiti...
1,Conclusion,1,36,10,5,The new heart scans offer patients significant benefits. They can be completed in a fracti...
2,Assumptions,1,1,10,5,"To decrease the number of crimes in city Y, the city’s Police Commissioner proposed taking..."
2,Assumptions,1,2,11,5,"Although there has been great scientific debate for decades over global warming, most scie..."
2,Assumptions,1,3,11,5,“The new HitItFar driver is the only golf club that uses space-age Titanium-Kryptonium all...
2,Assumptions,1,4,11,5,Researchers studying the spread of the Black Plague in sixteenth-century England claim tha...
2,Assumptions,1,5,11,5,The popular notion that a tree’s age can be determined by counting the number of internal...
2,Assumptions,1,6,11,5,The Department of Homeland Security has proposed new federal requirements for driver’s lic...
2,Assumptions,1,7,12,5,"Since the new publisher took control, a news magazine’s covers have featured only models a..."
2,Assumptions,1,8,12,5,"In response to the increasing cost of producing energy through traditional means, such as..."
2,Assumptions,1,9,12,5,"Surveys consistently show that the best-selling ice cream flavor is vanilla, although thos..."
2,Assumptions,1,10,12,5,The media claim that the economy is entering a phase of growth and prosperity. They point...
2,Assumptions,1,11,12,5,A newly discovered painting on wooden panel by Michelangelo must have been completed after...
2,Assumptions,1,12,13,5,"In order to save money, some of Company X’s manufacturing plants converted from oil fuel t..."
2,Assumptions,1,13,13,5,Advertisement: Avian Oculars are the newest in binocular technology for the professional b...
2,Assumptions,1,14,13,5,Every year many people become ill because of airborne mold spores in their homes. After so...
2,Assumptions,1,15,13,5,The legislature of the Philippines voted recently to abolish the death penalty. In contras...
2,Assumptions,1,16,13,5,"Smoking is a known cause of certain serious health problems, including emphysema and lung..."
2,Assumptions,1,17,14,5,"Over the past 5 years, Company X has posted double-digit growth in annual revenues, combin..."
2,Assumptions,1,18,14,5,"Antoine: The alarming fact is that among children aged 19 years and younger, the number ta..."
2,Assumptions,1,19,14,5,A recent article stated that only 5.5% of American colleges grant the majority of their de...
2,Assumptions,1,20,14,5,Doctor: Research shows that adolescents who play video games on a regular basis are three...
2,Assumptions,1,21,14,5,Company X receives most of its revenues from the sale of gasoline through a network of gas...
2,Assumptions,1,22,15,5,An oil field prospector and developer reported a large oil deposit in southwestern Texas....
2,Assumptions,1,23,15,5,Parent: The city education department is unable to distinguish between annoyances and impo...
2,Assumptions,1,24,15,5,The Ergonomic Society conducted a study that indicated that many people develop severe bac...
2,Assumptions,1,25,15,5,"Since the new publisher took control, a news magazine’s covers have featured only models a..."
2,Assumptions,1,26,16,5,For-profit colleges serve far fewer students than either public or private non-profit coll...
2,Assumptions,1,27,16,5,Recent research has indicated that married people are not only happier than unmarried peop...
2,Assumptions,1,28,16,5,Country X imposes heavy tariffs on imported manufactured goods. Company Y has determined t...
2,Assumptions,1,29,16,5,Country X imposes heavy tariffs on imported manufactured goods. Company Y has determined t...
2,Assumptions,1,30,16,5,"When a company refuses to allow other companies to produce patented technology, the consum..."
2,Assumptions,1,31,17,5,Inorganic pesticides remain active on the surfaces of fruits and vegetables for several da...
2,Assumptions,1,32,17,5,The downturn in the economy last year has prompted many companies to make widely publicize...
2,Assumptions,1,33,17,5,"Because most hospitals suffer a chronic undersupply of physicians, patients must sometimes..."
2,Assumptions,1,34,17,5,Scientists have discovered a new species of butterfly that lives only in a small region of...
3,Weaken,1,1,17,5,"A certain baseball team has just completed its season. In stadiums that seat 20,000 or few..."
3,Weaken,1,2,18,5,The recent decline in the employment rate was spurred by predictions of slow economic grow...
3,Weaken,1,3,18,5,"Farmers in developing countries claim that the United States government, through farm subs..."
3,Weaken,1,4,18,5,The amount of money estimated to be lost by Hollywood studios due to DVD piracy overseas i...
3,Weaken,1,5,18,5,"Political Analyst: Because our city is a border city, illegal immigration is an important..."
3,Weaken,1,6,19,5,"Adam will spend \$4,000 to rent a booth at the town’s annual county fair to promote his ne..."
3,Weaken,1,7,19,5,The people of Prohibitionland are considering banning the service of alcoholic beverages i...
3,Weaken,1,8,19,5,"Recently, some critics of the U.S. government have pointed out that this country is the on..."
3,Weaken,1,9,20,5,Experts estimate that insurance companies’ tardiness in paying doctors for legitimate medi...
3,Weaken,1,10,20,5,"Of the people who moved from one state to another when they retired, the proportion who re..."
3,Weaken,1,11,20,5,Market Analyst: Recent research confirms that the main cause of bad breath is bacteria bui...
3,Weaken,1,12,20,5,Companies that offer “employer sponsored insurance” (ESI) pay a portion of employees’ heal...
3,Weaken,1,13,21,5,Studies have shown that an automobile that runs on a blend of 85% ethanol/15% gasoline get...
3,Weaken,1,14,21,5,"The American Revolution arose partly in response to British general search warrants, which..."
3,Weaken,1,15,21,5,A researcher studying corporate executives found that they tend to have “take charge” pers...
3,Weaken,1,16,21,5,"Because of a rare type of fungus that killed off many cacao trees in Brazil, there was an..."
3,Weaken,1,17,21,5,A recent survey conducted in the New Homes magazine indicated that more than 70% of its re...
3,Weaken,1,18,22,5,Most water companies in the United States add fluoride to tap water to help prevent caviti...
3,Weaken,1,19,22,5,"Recently in City X, developers have stopped buying land, contractors have found themselves..."
3,Weaken,1,20,22,5,"On average, the number of speeding tickets issued in County X every year is three times gr..."
3,Weaken,1,21,22,5,The principal of School X has proposed a plan that would add an hour-long study period to...
3,Weaken,1,22,22,5,The anticipated retirement of tens of thousands of baby boomers will create an unprecedent...
3,Weaken,1,23,23,5,"According to a recent research study, more than 90% percent of graduates of private high s..."
3,Weaken,1,24,23,5,"Two years ago, the cost of the raw material used in a particular product doubled after an..."
3,Weaken,1,25,23,5,The current administration and Congress have once again practiced bad public policy in fai...
3,Weaken,1,26,23,5,Investment Advisor: It is well-known that investing in mutual funds reduces portfolio risk...
3,Weaken,1,27,24,5,Joe: The sign on this garden says “Do Not Pick The Flowers.” Sally: You are right. But the...
3,Weaken,1,28,24,5,Consumer advocates argue that the coating found on non-stick cookware contains harmful che...
3,Weaken,1,29,24,5,"Unlike juvenile diabetes, which is a genetic condition present from birth, type-2 diabetes..."
3,Weaken,1,30,24,5,Absenteeism among employees has decreased steadily over the past several years. Two possib...
3,Weaken,1,31,25,5,"Recently, many critics of the U.S. government have pointed out that this country is the on..."
3,Weaken,1,32,25,5,"During the recent spate of brushfires in the Southwest, homeowners who lived near affected..."
3,Weaken,1,33,25,5,"For years, the debate over public education reform has centered on financing. Many claim t..."
3,Weaken,1,34,25,5,Company X conducted a taste test to determine whether its new soft drink had a good chance...
3,Weaken,1,35,26,5,"Math education in this country does a disservice to our children. In the lower grades, it..."
3,Weaken,1,36,26,5,The recent boom in new home construction has finally begun to taper off. Developers are no...
3,Weaken,1,37,26,5,Researchers have noticed that people whose blood shows abnormally low levels of calcium us...
4,Strengthen,1,1,26,5,The United States government uses only a household’s cash income before taxes to determine...
4,Strengthen,1,2,27,5,"Historically, the drug industry promoted its products to physicians by educating them in t..."
4,Strengthen,1,3,27,5,Studies in restaurants show that the tips left by customers who pay their bill tend to be...
4,Strengthen,1,4,27,5,Analyst: The pace of technological development brings a constant stream of new devices to...
4,Strengthen,1,5,27,5,More and more companies have begun to consume less energy by making themselves more effici...
4,Strengthen,1,6,28,5,State X recently decided to cut state funding for the public library system in County X. T...
4,Strengthen,1,7,28,5,"In the 18th and 19th centuries, it was believed in many coastal American cities that the w..."
4,Strengthen,1,8,28,5,Charter schools are independent public schools that are given greater autonomy in exchange...
4,Strengthen,1,9,28,5,Officials of the Youth Hockey League and parents of players in the league have become conc...
4,Strengthen,1,10,29,5,"Almost every modern kitchen today is equipped with a microwave oven, mainly because microw..."
4,Strengthen,1,11,29,5,One feature of the global food economy is the simultaneous import and export of the same i...
4,Strengthen,1,12,29,5,Wide dissemination of wireless networks in cities is a practical way to meet the needs of...
4,Strengthen,1,13,29,5,Surveys reveal that the vast majority of hotel guests in the United States resent the high...
4,Strengthen,1,14,30,5,"There is only one major road, Freeway Z, that links County X and County Y. The border of t..."
4,Strengthen,1,15,30,5,"In January of last year, Fastfood King started using a new lowfat oil to cook its Fast Fri..."
4,Strengthen,1,16,30,5,"The West Indian manatee, a distant relative of the elephant, returned to the sea some 50 m..."
4,Strengthen,1,17,30,5,"Betting on sports, even for small stakes among friends, is a form of gambling. Therefore,..."
4,Strengthen,1,18,30,5,"Ethanol is a derivative of corn and other grains. When burned as fuel, it emits significan..."
4,Strengthen,1,19,31,5,Medical education in the United States has focused almost exclusively on curative medicine...
4,Strengthen,1,20,31,5,"Some animals, such as dolphins, dogs, and African grey parrots, seem to exhibit cognitive..."
4,Strengthen,1,21,31,5,"To prevent overcrowding, last month the town zoning board limited the number of new buildi..."
4,Strengthen,1,22,31,5,"At any given time, approximately fifteen percent of all homes in Florida are on the market..."
5,Evaluate,1,1,31,5,"A certain pharmaceutical firm claims that its dietary supplement, Dietol, is highly effect..."
5,Evaluate,1,2,32,5,The recording industry is fighting a losing battle: it simply does not have the resources...
5,Evaluate,1,3,32,5,While political discourse and the media in the United States have focused on the rise of j...
5,Evaluate,1,4,32,5,Profits for one of Company X’s flagship products have been declining slowly for several ye...
5,Evaluate,1,5,32,5,"The Civil Service Act of 1883, also known as the Pendleton Act, which created a profession..."
5,Evaluate,1,6,33,5,Zoologists warn of an imminent surge in the number of bird species that will become extinc...
5,Evaluate,1,7,33,5,Most cable television companies currently require customers to subscribe to packages of ch...
5,Evaluate,1,8,33,5,"The director of programming at NNN, the National News Network, proclaimed that, despite ch..."
5,Evaluate,1,9,33,5,Child development specialists have observed that adolescents who receive large weekly allo...
5,Evaluate,1,10,34,5,The downturn in the economy last year has prompted many companies to make widely publicize...
5,Evaluate,1,11,34,5,"Because of a rare type of fungus that killed off many cacao trees in Brazil, there was an..."
5,Evaluate,1,12,34,5,Scientists have determined that an effective way to lower cholesterol is to eat three serv...
6,Paradox,1,1,34,5,"Greek tragedy, one of the enduring pillars of our belief system, dramatized the concept th..."
6,Paradox,1,2,35,5,"A certain pharmaceutical firm recently developed a new medicine, Dendadrine, that provides..."
6,Paradox,1,3,35,5,Small community hospitals in poor urban areas almost always operate at a loss due to an un...
6,Paradox,1,4,35,5,The climbing season of 2006 was the deadliest on record for those attempting to conquer Mo...
6,Paradox,1,5,36,5,The exchange rate between the currency of Country X and that of Country Y has historically...
6,Paradox,1,6,36,5,"When Bob’s Bistro opened in the town of Montrose last year, the proprietors of Andrew’s Ea..."
6,Paradox,1,7,36,5,"On average, residents of City X devote a greater percentage of their yearly incomes to hou..."
6,Paradox,1,8,36,5,Certain oil companies have been called poor corporate citizens because they have opposed g...
6,Paradox,1,9,36,5,Country X contains many rivers that flow down from its high mountains. These rivers have b...
6,Paradox,1,10,37,5,As a result of consumers’ increased awareness of the health risks associated with heavy co...
6,Paradox,1,11,37,5,"Life in an urban center , with daily experiences of subways, crowded sidewalks and dense l..."
6,Paradox,1,12,37,5,"When Americans filed their tax returns this year, the United States Treasury Department co..."
6,Paradox,1,13,37,5,Amtown’s public schools are supported primarily by town property taxes. The town plans to...
6,Paradox,1,14,38,5,"In recent years, the Holdsville Transportation Authority (HTA) has noted consistent delays..."
6,Paradox,1,15,38,5,City Controller: 63% of our residents voted to approve the developer’s request to build a...
6,Paradox,1,16,38,5,"In 1963, Congress approved the Community Mental Health Centers Act, which outlined plans t..."
6,Paradox,1,17,38,5,Company X manufactures swim wear and planned to launch a new line of women’s bathing suits...
7,Boldface,1,1,39,5,Local authorities are considering an amendment to the litter law that would raise the fine...
7,Boldface,1,2,39,5,Political analyst: A party that temporarily positions itself in the negligible crack betwe...
7,Boldface,1,3,39,5,"Letter to the editor: Proposition Q, a controversial measure on this year’s ballot, would..."
7,Boldface,1,4,40,5,"Scientist: Evolutionary biology has long held that the most attractive males of a species,..."
7,Boldface,1,5,40,5,"Traditionally, video game manufacturers have been most strongly influenced by serious vide..."
7,Boldface,1,6,40,5,Musical composers have generally made their most significant contributions to the musical...
7,Boldface,1,7,41,5,The city government should invest surplus funds in improving the city’s transportation net...
7,Boldface,1,8,41,5,"Chief Economist: Usually, the release of economic data about higher-than-expected growth i..."
7,Boldface,1,9,41,5,"Political Analyst: After the Soviet Union collapsed, some hoped that freedom would encoura..."
7,Boldface,1,10,41,5,United Energy recently invested in a series of large windmills which are able to produce r...
7,Boldface,1,11,42,5,"Marketing Analyst: Traditionally, introducing a new consumer product contributes to the di..."
7,Boldface,1,12,42,5,"Letter writer : Illegal drug use is often associated with other serious problems, such as..."
7,Boldface,1,13,42,5,"Real Estate Agent: Next year, the occupancy rate for residential rental properties in Rive..."
7,Boldface,1,14,43,5,Policy analyst : Most government agencies become less effective over time. Some experts go...
7,Boldface,1,15,43,5,Political Candidate: Government subsidized prescription drug plans that would allow indivi...
7,Boldface,1,16,43,5,Studies have shown that people who keep daily diet records are far more successful at losi...
7,Boldface,1,17,43,5,Weight loss programs that guarantee results mislead their customers. No program can ensure...
7,Boldface,1,18,44,5,"For nearly a century, physiologists erroneously believed that a buildup of lactic acid in..."
7,Boldface,1,19,44,5,The president’s nominees to federal circuit courts have been judged conservative for their...
7,Boldface,1,20,44,5,"If interest rates remain at their current high levels, many people who currently rent thei..."
7,Boldface,1,21,44,5,Corporate Strategist: It is generally true that a reduction in the price of a good results...
7,Boldface,1,22,45,5,The fight against the drug trade in Country X should focus for the time being on tightenin...
7,Boldface,1,23,45,5,Mayor: Some of my critics claim that the city’s current budget deficit has been caused by...
7,Boldface,1,24,45,5,Environmental organizations want to preserve the land surrounding the Wilgrinn Wilderness...
7,Boldface,1,25,45,5,"Economist: Tropicorp, which constantly seeks profitable investment opportunities, has been..."
7,Boldface,1,26,46,5,"It is well documented that people have positive responses to some words, such as “kind” an..."
7,Boldface,1,27,46,5,Psychologist: The obligation to express gratitude cannot be fulfilled anonymously . Howeve...
7,Boldface,1,28,46,5,Seemingly inconsequential changes in sea temperature due to global warming eventually resu...
7,Boldface,1,29,46,5,Nutritionist: Because humans have evolved very little since the development of agriculture...
7,Boldface,1,30,47,5,"Pedigreed dogs, including those officially classified as working dogs, must conform to sta..."
7,Boldface,1,31,47,5,Professor Jones has claimed that chemical compound chlorocetin contained in industrial was...
7,Boldface,1,32,47,5,Business Consultant: Some corporations shun the use of executive titles because they fear...
7,Boldface,1,33,48,5,Critics of certain pollution-control regulations have claimed that the money spent over th...
7,Boldface,1,34,48,5,Astronomer: Observations of the Shoemaker-Levi comet on its collision course with Jupiter...
8,Miscellaneous,1,1,48,5,"If, in a tennis tournament, a match reaches a fifth-set tiebreak, the lower-ranked player..."
8,Miscellaneous,1,2,49,5,Studies show that repeated exposure to an allergen can trigger an allergic person’s defens...
8,Miscellaneous,1,3,49,5,The “Doppler effect” refers to the perceived change in pitch that occurs when the source o...
8,Miscellaneous,1,4,49,5,"Jim: The United States Mint has recently announced that the rising cost of raw copper, nic..."
8,Miscellaneous,1,5,49,5,"Owner of JavaJoint: Over the past year , the coffee store has become a daily hang-out for..."
8,Miscellaneous,1,6,50,5,Garbage in this neighborhood probably will not be collected until Thursday this week. Garb...
8,Miscellaneous,1,7,50,5,Jane: Professor Harper’s ideas for modifying the design of guitars are of no value because...
8,Miscellaneous,1,8,50,5,"Jorge: You won’t be able to write well about the rock music of the 1960s, since you were j..."
8,Miscellaneous,1,9,50,5,"Anne: Halley’s Comet, now in a part of its orbit relatively far from the Sun, recently fla..."
8,Miscellaneous,1,10,50,5,"Ingrid: Rock music has produced no songs as durable as the songs of the 1940s, which conti..."
8,Miscellaneous,2,1,51,5,The importance of the ozone layer to terrestrial animals is that it entirely filters out s...
8,Miscellaneous,2,2,51,5,One of the most vexing problems in historiography is dating an event when the usual source...
8,Miscellaneous,2,3,51,5,"In an experiment, two-year-old boys and their fathers made pie dough together using rollin..."
8,Miscellaneous,2,4,51,5,The increasing complexity of scientific inquiry has led to a proliferation of multi-author...
8,Miscellaneous,2,5,52,5,"Some environmentalists question the prudence of exploiting features of the environment, ar..."
8,Miscellaneous,2,6,52,5,Some argue that laws are instituted at least in part to help establish a particular moral...
8,Miscellaneous,2,7,52,5,Newtonian physics dominated science for over two centuries. It found consistently successf...
8,Miscellaneous,2,8,52,5,The solidity of bridge piers built on pilings depends largely on how deep the pilings are...
8,Miscellaneous,2,9,53,5,Every moral theory developed in the Western tradition purports to tell us what a good life...
8,Miscellaneous,2,10,53,5,Mystery stories often feature a brilliant detective and the detective’s dull companion. Cl...
8,Miscellaneous,2,11,53,5,"Cézanne’s art inspired the next generation of artists, twentieth-century modernist creator..."
8,Miscellaneous,2,12,53,5,Light is registered in the retina when photons hit molecules of the pigment rhodopsin and...
8,Miscellaneous,2,13,53,5,"Flavonoids are a common component of almost all plants, but a specific variety of flavonoi..."
8,Miscellaneous,2,14,54,5,Sharks have a higher ratio of cartilage mass to body mass than any other organism. They al...
8,Miscellaneous,2,15,54,5,Good students learn more than what their parents and teachers compel them to learn. This r...
8,Miscellaneous,2,16,54,5,"For a ten-month period, the total monthly sales of new cars within the country of Calistan..."
8,Miscellaneous,2,17,54,5,"Two things are true of all immoral actions. First, if they are performed in public, they o..."
8,Miscellaneous,2,18,55,5,Journalist: A free marketplace of ideas ensures that all ideas get a fair hearing. Even id...
8,Miscellaneous,2,19,55,5,I agree that Hogan’s actions resulted in grievous injury to Winters. And I do not deny tha...
8,Miscellaneous,2,20,55,5,"Last month OCF, Inc., announced what it described as a unique new product: an adjustable c..."
8,Miscellaneous,2,21,55,5,"Prediction, the hallmark of natural sciences, appears to have been possible by reducing ph..."
8,Miscellaneous,2,22,55,5,Psychologist: Although studies of young children have revealed important facts about the i...
8,Miscellaneous,2,23,56,5,People with serious financial problems are so worried about money that they cannot be happ...
8,Miscellaneous,2,24,56,5,"Some types of organisms originated through endosymbiosis, the engulfing of one organism by..."
8,Miscellaneous,2,25,56,5,"If you have no keyboarding skills at all, you will not be able to use a computer. And if y..."
8,Miscellaneous,2,26,56,5,The axis of Earth’s daily rotation is tilted with respect to the plane of its orbit at an...
8,Miscellaneous,2,27,56,5,Editorialist: Drivers with a large number of demerit points who additionally have been con...
8,Miscellaneous,2,28,57,5,"Muscular strength is a limited resource, and athletic techniques help to use this resource..."
8,Miscellaneous,2,29,57,5,"If there are any inspired musical performances in the concert, the audience will be treate..."
8,Miscellaneous,2,30,57,5,A politician can neither be reelected nor avoid censure by his or her colleagues if that p...
8,Miscellaneous,2,31,57,5,"Leachate is a solution, frequently highly contaminated, that develops when water permeates..."
8,Miscellaneous,2,32,57,5,From 1973 to 1989 total energy use in this country increased less than 10 percent. However...
8,Miscellaneous,2,33,58,5,"The number of North American children who are obese—that is, who have more body fat than d..."
8,Miscellaneous,2,34,58,5,"Ditrama is a federation made up of three autonomous regions: Korva, Mitro, and Guadar. Und..."
8,Miscellaneous,2,35,58,5,"Students from outside the province of Markland, who in any given academic year pay twice a..."
8,Miscellaneous,2,36,58,5,Most antidepressant drugs cause weight gain. While dieting can help reduce the amount of w...
8,Miscellaneous,2,37,58,5,"Maria won this year’s local sailboat race by beating Sue, the winner in each of the four p..."
8,Miscellaneous,2,38,59,5,"If something would have been justifiably regretted if it had occurred, then it is somethin..."
8,Miscellaneous,2,39,59,5,Psychiatrist: Take any visceral emotion you care to consider. There are always situations...
8,Miscellaneous,2,40,59,5,"Marian Anderson, the famous contralto, did not take success for granted. We know this beca..."
8,Miscellaneous,2,41,59,5,"Columnist: Almost anyone can be an expert, for there are no official guidelines determinin..."
8,Miscellaneous,2,42,59,5,"Vague laws set vague limits on people’s freedom, which makes it impossible for them to kno..."
8,Miscellaneous,2,43,59,5,Art historian: Great works of art have often elicited outrage when first presented; in Eur...
8,Miscellaneous,2,44,60,5,"In Western economies, more energy is used to operate buildings than to operate transportat..."
8,Miscellaneous,2,45,60,5,Emissions from automobiles that burn gasoline and automobiles that burn diesel fuel are th...
8,Miscellaneous,2,46,60,5,Doctors in Britain have long suspected that patients who wear tinted eyeglasses are abnorm...
8,Miscellaneous,2,47,60,5,Columnist: A democratic society cannot exist unless its citizens have established strong b...
8,Miscellaneous,2,48,61,5,Barnes: The two newest employees at this company have salaries that are too high for the s...
8,Miscellaneous,2,49,61,5,"The current pattern of human consumption of resources, in which we rely on nonrenewable re..."
8,Miscellaneous,2,50,61,5,"In humans, ingested protein is broken down into amino acids, all of which must compete to..."
8,Miscellaneous,2,51,61,5,Publicity campaigns for endangered species are unlikely to have much impact on the most im...
8,Miscellaneous,2,52,61,5,"Historian: Leibniz, the seventeenth-century philosopher, published his version of calculus..."
8,Miscellaneous,2,53,62,5,"In 1980, Country A had a per capita gross domestic product (GDP) that was \$5,000 higher t..."
8,Miscellaneous,2,54,62,5,Carl is clearly an incompetent detective. He has solved a smaller percentage of the cases...
8,Miscellaneous,2,55,62,5,Beverage company representative: The plastic rings that hold six-packs of beverage cans to...
8,Miscellaneous,2,56,62,5,"There is relatively little room for growth in the overall carpet market, which is tied to..."
8,Miscellaneous,2,57,63,5,Speaker: Contemporary business firms need to recognize that avoiding social responsibility...
8,Miscellaneous,2,58,63,5,Politician: All nations that place a high tax on income produce thereby a negative incenti...
8,Miscellaneous,2,59,63,5,"Human beings have cognitive faculties that are superior to those of other animals, and onc..."
8,Miscellaneous,2,60,63,5,"Loggerhead turtles live and breed in distinct groups, of which some are in the Pacific Oce..."
8,Miscellaneous,2,61,64,5,People who have specialized knowledge about a scientific or technical issue are systematic...
8,Miscellaneous,2,62,64,5,The five senses have traditionally been viewed as distinct yet complementary. Each sense i...
8,Miscellaneous,2,63,64,5,Archaeologist: A skeleton of a North American mastodon that became extinct at the peak of...
8,Miscellaneous,2,64,64,5,Lobsters and other crustaceans eaten by humans are more likely to contract gill diseases w...
8,Miscellaneous,2,65,65,5,People with high blood pressure are generally more nervous and anxious than people who do...
8,Miscellaneous,2,66,65,5,High school students who feel that they are not succeeding in high school often drop out b...
8,Miscellaneous,2,67,65,5,The number of airplanes equipped with a new anti-collision device has increased steadily d...
8,Miscellaneous,2,68,65,5,"Violent crime in this town is a becoming a serious problem. Compared to last year, local l..."
8,Miscellaneous,2,69,66,5,"Medical researcher: As expected, records covering the last four years of ten major hospita..."
8,Miscellaneous,2,70,66,5,Researcher: People with certain personality disorders have more theta brain waves than tho...
8,Miscellaneous,2,71,66,5,"Unlike newspapers in the old days, today’s newspapers and televised news programs are full..."
8,Miscellaneous,2,72,66,5,"Waste management companies, which collect waste for disposal in landfills and incineration..."
8,Miscellaneous,2,73,67,5,Rumored declines in automobile-industry revenues are exaggerated. It is true that automobi...
8,Miscellaneous,2,74,67,5,Politician: Those economists who claim that consumer price increases have averaged less th...
8,Miscellaneous,2,75,67,5,Editorial: The premier’s economic advisor assures her that with the elimination of wastefu...
8,Miscellaneous,2,76,67,5,"Cotrell is, at best, able to write magazine articles of average quality. The most compelli..."
8,Miscellaneous,2,77,67,5,Activist: Food producers irradiate food in order to prolong its shelf life. Five animal st...
8,Miscellaneous,2,78,68,5,"Philosopher: Scientists talk about the pursuit of truth, but, like most people, they are s..."
8,Miscellaneous,2,79,68,5,Several legislators claim that the public finds many current movies so violent as to be mo...
8,Miscellaneous,2,80,68,5,"On some hot days the smog in Hillview reaches unsafe levels, and on some hot days the wind..."
8,Miscellaneous,2,81,68,5,Astronomer: I have asserted that our solar system does not contain enough meteoroids and o...
8,Miscellaneous,2,82,68,5,"Some people believe that good health is due to luck. However, studies from many countries..."
8,Miscellaneous,2,83,69,5,"Advertisement: At most jewelry stores, the person assessing the diamond is the person sell..."
8,Miscellaneous,2,84,69,5,Statistician: A financial magazine claimed that its survey of its subscribers showed that...
8,Miscellaneous,2,85,69,5,"Modern navigation systems, which are found in most of today’s commercial aircraft, are mad..."
8,Miscellaneous,2,86,69,5,"Amphibian populations are declining in numbers worldwide. Not coincidentally, the earth’s..."
8,Miscellaneous,2,87,70,5,"According to the theory of continental drift, in prehistoric times, many of today’s separa..."
8,Miscellaneous,2,88,70,5,"Medical doctor: Sleep deprivation is the cause of many social ills, ranging from irritabil..."
8,Miscellaneous,2,89,70,5,"Toxicologist: A survey of oil-refinery workers who work with MBTE, an ingredient currently..."
8,Miscellaneous,2,90,70,5,"Galanin is a protein found in the brain. In an experiment, rats that consistently chose to..."
8,Miscellaneous,2,91,71,5,"For next year, the Chefs’ Union has requested a 10 percent salary increase for each of its..."
8,Miscellaneous,2,92,71,5,Advertisement: Most power hedge trimmers on the market do an adequate job of trimming hedg...
8,Miscellaneous,2,93,71,5,Columnist: George Orwell’s book 1984 has exercised much influence on a great number of thi...
8,Miscellaneous,2,94,71,5,Anders: The physical structure of the brain plays an important role in thinking. So resear...
8,Miscellaneous,2,95,72,5,"Provinces and states with stringent car safety requirements, including required use of sea..."
