gruppo,brano,domande,risposte_note,risposte,parole,incipit
GMAT New (63),24,7,7,BDAEECA,353,"All of the cells in a particular plant start out (start out: 开始, 着手) with the same complem..."
GMAT New (63),25,8,8,BEBCACAC,492,"In 1977 the prestigious Ewha Women’s University in Seoul, Korea, announced the opening of..."
GMAT New (63),26,8,8,ECEEBDDA,448,"In choosing a method for determining climatic conditions that existed in the past, paleocl..."
GMAT New (63),27,7,7,BCECBED,478,"Since the late 1970’s, in the face of a severe loss of market share (market share: 市场份额, 市..."
GMAT New (63),28,7,7,BBDDDCD,380,The settlement of the United States has occupied (occupy: to engage the attention or energ...
GMAT New (63),29,7,7,ECCAEDB,355,Studies of the Weddell seal in the laboratory have described the physiological mechanisms...
GMAT New (63),30,8,8,BADBACED,343,"Since the early 1970’s, historians have begun to devote serious attention to the working c..."
GMAT New (63),31,8,8,DEECCDBD,460,The number of women directors appointed to corporate boards in the United States has incre...
GMAT New (63),32,8,8,BCCCABBD,448,"Increasingly, historians are blaming diseases imported from the Old World for the staggeri..."
GMAT New (63),33,7,7,BABDBCB,429,Until recently most astronomers believed that the space between the galaxies in our univer...
GMAT New (63),34,7,7,CDDBACC,375,Kazuko Nakane’s history of the early Japanese immigrants to central California’s Pajaro Va...
GMAT New (63),35,8,8,BECDEADE,356,It can be argued that much consumer dissatisfaction with marketing strategies arises from...
GMAT New (63),36,8,8,BACAAEBD,362,Protein synthesis begins when the gene encoding a protein is activated. The gene’s sequenc...
GMAT New (63),37,7,7,CBECACD,223,(This passage was excerpted from material written in 1990.) As the economic role of multin...
GMAT New (63),38,7,7,CBACEED,209,"In Forces of Production, David Noble examines the transformation of the machine-tool indus..."
GMAT New (63),39,4,4,CDEB,363,The sensation of pain (sensation of pain: 痛觉) cannot accurately be described as “located”...
GMAT New (63),40,8,8,DEADCBAA,351,Japanese firms have achieved the highest levels of manufacturing efficiency in the world a...
GMAT New (63),41,9,9,EAECBCDAA,347,It was once believed that the brain was independent of metabolic processes occurring elsew...
GMAT New (63),42,6,6,CDCEBE,357,Historians sometimes forget that history is continually being made and experienced before...
GMAT New (63),43,8,8,ABDBCCDE,344,Joseph Glatthaar’s Forged in Battle is not the first excellent study of Black soldiers and...
GMAT New (63),44,8,8,BCEDACEA,356,It was once assumed that all living things could be divided into two fundamental and exhau...
GMAT New (63),45,7,7,CBBEAAC,390,"Excess inventory, a massive (large in scope or degree “the feeling of frustration, of bein..."
GMAT New (63),46,6,6,DEDDCA,219,"Traditionally, the first firm to commercialize a new technology has benefited from the uni..."
GMAT New (63),47,6,6,DCACEB,228,Australian researchers have discovered electroreceptors (sensory organs designed to respon...
GMAT New (63),48,6,6,CDBCAB,386,When A. Philip Randolph assumed the leadership of the Brotherhood of Sleeping Car (sleepin...
GMAT New (63),49,8,8,BCECECCA,370,Historians of women’s labor in the United States at first largely disregarded the story of...
GMAT New (63),50,8,8,BACBDACD,329,"According to a recent theory, Archean-age gold-quartz vein systems were formed over two bi..."
GMAT New (63),51,7,7,DAEBCEA,388,While there is no blueprint (a detailed plan or program of action “a blueprint for victory...
GMAT New (63),52,6,6,BABBDE,223,"Seeking a competitive advantage, some professional service firms (for example, firms provi..."
GMAT New (63),53,6,6,CBECDA,235,"Although genetic mutations in bacteria and viruses can lead to epidemics, some epidemics a..."
GMAT New (63),54,6,6,DDCEBE,386,Two modes of argumentation have been used on behalf of women’s emancipation in Western soc...
GMAT New (63),55,7,7,CBEEEAA,212,(This passage was adapted from an article written in 1992.) Some observers have attributed...
GMAT New (63),56,6,6,EDADBC,344,"Although numbers of animals in a given region may fluctuate from year to year, the fluctua..."
GMAT New (63),57,5,5,CDDAE,212,"In recent years, teachers of introductory courses in Asian American studies have been faci..."
GMAT New (63),58,5,5,CDEDB,211,"In an attempt to improve the overall performance of clerical workers, many companies have..."
GMAT New (63),59,6,6,ADBEBC,209,Schools expect textbooks to be a valuable source of information for students. My research...
GMAT New (63),60,7,7,CBBBEAC,352,"Until recently, scientists did not know of a close vertebrate analogue to the extreme form..."
GMAT New (63),61,5,5,BAAEC,197,"Coral reefs are one of the most fragile, biologically complex, and diverse marine ecosyste..."
GMAT New (63),62,7,7,BDBDDCA,368,Two divergent definitions have dominated sociologists’ discussions of the nature of ethnic...
GMAT New (63),63,6,6,BCADEB,222,The fact that superior service can generate a competitive advantage for a company does not...
GMAT Extra (22),64,8,8,EEDCABAB,437,The antigen-antibody immunological reaction used to be regarded as typical of immunologica...
GMAT Extra (22),65,8,8,AECDBBAD,493,The founders of the Republic viewed their revolution primarily in political rather than ec...
GMAT Extra (22),66,8,8,CABACCDC,497,The health-care economy is replete with unusual and even unique economic relationships. On...
GMAT Extra (22),67,9,9,ACEACAEBD,503,"About twice every century, one of the massive stars in our galaxy blows itself apart in a..."
GMAT Extra (22),68,9,9,CBEABBCAA,508,The uniqueness of the Japanese character is the result of two seemingly contradictory forc...
GMAT Extra (22),69,9,9,CBEADECBB,470,Public general hospitals originated in the almshouse infirmaries established as early as c...
GMAT Extra (22),70,9,9,EAEABCEAD,503,The National Security Act of 1947 created a national military establishment (establishment...
GMAT Extra (22),71,7,7,CBAABEA,513,Behavior is one of two general responses available to endothermic (endothermic: adj.吸热(性)的...
GMAT Extra (22),72,9,9,CEBBAEDCB,491,Since Would War II considerable advances have been made in the area of health-care service...
GMAT Extra (22),73,9,9,EBAECBDCA,476,"During the Victorian period, women writers were measured against a social rather than a li..."
GMAT Extra (22),74,9,9,CBEDACEAD,490,"Agricultural progress provided the stimulus necessary to set off (set off: v.引起, 使爆发) econ..."
GMAT Extra (22),75,8,8,CADECBDE,510,"For years scholars have contrasted slavery in the United States and in Brazil, stimulated..."
GMAT Extra (22),76,8,8,BEDAADCB,451,"Desertification, the creation of desert-like conditions where none had existed before, is..."
GMAT Extra (22),77,9,9,CECBBACCB,469,The promise of finding long-term technological solutions to the problem of world food shor...
GMAT Extra (22),78,8,8,AABAECDD,441,"In Roman times, defeated enemies were generally put to death (put to death: v.杀死) as crimi..."
GMAT Extra (22),79,9,9,CEACDDEAB,396,In most earthquakes the Earth’s crust cracks like porcelain. Stress builds up (build up: v...
GMAT Extra (22),80,5,5,BDCAB,349,Most large corporations in the United States were once run by individual capitalists who o...
GMAT Extra (22),81,9,9,EDBECCBAD,462,"For over 300 years, one of the most enduring beliefs among historians of England has been..."
GMAT Extra (22),82,9,9,CBDAEAEDD,453,Comparable worth is a concept that rejects the premise of a separate and lower wage hierar...
GMAT Extra (22),83,8,8,AECDBACA,463,"Historians have long thought that America was, from the beginning, profoundly influenced b..."
GMAT Extra (22),84,9,9,BABCCCDEE,522,"Astrophysicists wrestling with the study of a new kind of star, the flat, “two-dimensional..."
GMAT Extra (22),85,7,7,DEAACDB,463,It is an unfortunate fact that most North Americans know little about American Indian cult...
GMAT Old OG (15),86,8,8,DBBEACED,540,"Early models of the geography of the metropolis were unicellular: that is, they assumed th..."
GMAT Old OG (15),87,8,8,BCBAEDBC,494,There is widespread belief that the emergence of giant industries has been accompanied by...
GMAT Old OG (15),88,9,9,CADBCABDC,501,Shaw’s defense of a theater of ideas brought him up against (bring up against: v.遭遇) both...
GMAT Old OG (15),89,9,9,BABECEBCA,523,"One of the many theories about alcoholism is the learning and reinforcement theory, which..."
GMAT Old OG (15),90,10,10,CEEEDCBDDA,691,(The following passage was written in 1977.) Changes in the volume of unemployment are gov...
GMAT Old OG (15),91,6,6,AAABCA,393,"A majority taken collectively may be regarded as a being whose opinions and, most frequent..."
GMAT Old OG (15),92,9,9,EBADAEBCE,513,"Although much has been written about the theological conflicts with Darwinian theory, litt..."
GMAT Old OG (15),93,9,9,ACECDBEBD,529,"In terms of its prevalence, obesity is the leading disease in the United States. There is..."
GMAT Old OG (15),94,7,7,BDDEAEC,355,"The impressionist painters expressly disavowed any interest in philosophy, yet their new a..."
GMAT Old OG (15),95,8,8,BCDECEED,452,"Radiation occurs from three natural sources: radioactive material in the environment, such..."
GMAT Old OG (15),96,9,9,BEAECDDAD,489,"Many readers assume that, as a neoclassical literary critic, Samuel Johnson would normally..."
GMAT Old OG (15),97,8,8,CBAAACBA,333,The idea of building “New Towns” to absorb growth is frequently considered a cure-all for...
GMAT Old OG (15),98,9,9,DCAEABACD,434,"In reaction to a rigid, overrefined classical curriculum, some educational philosophers ha..."
GMAT Old OG (15),99,8,8,CCEBBAEA,355,"Methods for typing blood were developed around the turn of the century, about the same tim..."
GMAT Old OG (15),100,8,8,EDBDEBBD,361,The delegates to the Constitutional Convention were realists. They knew that the greatest...
OG New (17),101,7,7,CEADCAD,364,Two recent publications offer different assessment of the career of the famous British nur...
OG New (17),102,8,8,BCDAADCE,360,A meteor stream (meteor stream: 流星群) is composed of dust particles that have been ejected...
OG New (17),103,6,6,BDBEAC,236,The new school of political history that emerged in the 1960’s and 1970’s sought to go bey...
OG New (17),104,7,7,DAECDBE,358,New observations about the age of some globular clusters in our Milky Way galaxy (Milky Wa...
OG New (17),105,5,5,ECCCE,236,"During the 1960’s and 1970’s, the primary economic development strategy of local governmen..."
OG New (17),106,5,5,EBDDA,199,Researchers compared the number of tooth fractures in present-day carnivores with tooth fr...
OG New (17),107,5,5,CDBEB,208,"During the nineteenth-century, occupational information about women that was provided by t..."
OG New (17),108,8,8,CAACBEEB,360,The modern multinational corporation (multinational corporation: 多国（跨国）公司) is described as...
OG New (17),109,4,4,BDCB,360,"In an unfinished but highly suggestive series of essays, the late Sarah Eisenstein has foc..."
OG New (17),110,4,4,DBEC,385,Neotropical (Of or designating the biogeographic region stretching southward from the Trop...
OG New (17),111,4,4,BABD,306,"Modern manufacturers, who need reliable sources of materials and technologically advanced..."
OG New (17),112,4,4,DBBB,340,"Homeostasis, an animal’s maintenance of certain internal variables within an acceptable ra..."
OG New (17),113,3,3,BAA,230,"In the seventeenth-century Florentine textile industry, women were employed primarily in l..."
OG New (17),114,4,4,DDEC,208,Maps made by non-Native Americans to depict Native American land tenure (land tenure:土地所有制...
OG New (17),115,4,4,DBDE,360,(This passage was written in 1984.) It is now possible to hear a recording of Caruso’s sin...
OG New (17),116,7,7,CBDBCDE,338,The function of capital markets is to facilitate an exchange of funds among all participan...
OG New (17),117,3,3,DBD,247,(The following is based on material written in 1996.) The Montreal Protocol on Substances...
