question,section,passage,book_difficulty,book_concept,page,explanation_page,oa,gmatclub_id,gmatclub_difficulty,gmatclub_percentile,gmatclub_category
44,PS,,Easy,Ratio and Proportion,88,140,E,100202,Easy,0.05,Fractions and Ratios
45,PS,,Easy,Percents,89,140,B,102015,Easy,0.05,Percent and Interest Problems
46,PS,,Easy,Estimation,89,141,E,100902,Easy,0.15,Arithmetic
47,PS,,Easy,Applied Problems,89,141,D,100858,Easy,0.05,Percent and Interest Problems; Word Problems
48,PS,,Easy,Estimation,89,141,A,100108,Easy,0.05,Arithmetic; Roots
49,PS,,Easy,Equations,89,142,B,102016,Easy,0.05,Arithmetic; Roots
50,PS,,Easy,Applied Problems,89,142,D,100968,Easy,0.05,Word Problems
51,PS,,Easy,Estimation,89,142,A,100987,Easy,0.05,Arithmetic
52,PS,,Easy,Properties of Numbers,90,142,D,100966,Easy,0.05,Multiples and Factors
53,PS,,Easy,Sequences,90,143,C,100295,Easy,0.05,Sequences
54,PS,,Easy,Algebraic Expressions,90,143,E,100973,Medium,0.25,Algebra; Word Problems
55,PS,,Easy,Inequalities,90,143,B,100768,Easy,0.05,Arithmetic; Inequalities
56,PS,,Easy,Statistics,90,143,B,100114,Easy,0.15,Statistics and Sets Problems
57,PS,,Easy,Applied Problems,90,144,A,100222,Easy,0.15,Percent and Interest Problems; Word Problems
58,PS,,Easy,Rate,91,145,D,100928,Easy,0.05,Word Problems
59,PS,,Easy,Percents,91,145,D,100152,Easy,0.15,Percent and Interest Problems
60,PS,,Easy,Applied Problems,91,145,D,100606,Easy,0.05,Fractions and Ratios
61,PS,,Easy,Applied Problems,91,146,E,100716,Medium,0.25,Percent and Interest Problems
62,PS,,Easy,Algebraic Expressions,91,146,A,100685,Easy,0.05,Fractions and Ratios
63,PS,,Easy,First-Degree Equations,91,146,D,100658,Hard,0.55,Inference
64,PS,,Easy,Applied Problems,91,146,D,102018,Easy,0.15,Word Problems
65,PS,,Easy,Ratio and Proportion,92,147,A,102019,Easy,0.05,Fractions and Ratios
66,PS,,Easy,Applied Problems,92,147,B,100199,Medium,0.35,Distance and Speed Problems
67,PS,,Easy,Formulas,92,147,B,102020,Easy,0.05,Algebra
68,PS,,Easy,Applied Problems; Sequences,92,148,D,100523,Easy,0.05,Sequences
69,PS,,Easy,Formulas,92,148,C,102021,Easy,0.05,Arithmetic
70,PS,,Easy,Properties of Numbers,92,148,E,100761,Medium,0.25,Algebra; Multiples and Factors
71,PS,,Easy,Operations with Radical Expressions,93,149,E,100161,Easy,0.05,Algebra; Roots
72,PS,,Easy,Statistics,93,149,C,102022,Easy,0.05,Algebra; Statistics and Sets Problems
73,PS,,Easy,Inequalities,93,149,C,100123,Easy,0.05,Inequalities
74,PS,,Easy,Operations with Integers,93,150,B,100206,Medium,0.25,Algebra; Remainders
75,PS,,Easy,Percents,94,151,D,100941,Hard,0.55,Percent and Interest Problems
76,PS,,Easy,Properties of Numbers,94,151,A,100923,Easy,0.05,Algebra; Remainders
77,PS,,Easy,Fractions,94,151,D,100214,Medium,0.45,Arithmetic; Fractions and Ratios
78,PS,,Easy,Simplifying Algebraic Expressions,94,152,D,100163,Easy,0.05,Algebra; Fractions and Ratios
79,PS,,Easy,Absolute Value,94,152,C,102023,Easy,0.05,Absolute Values
80,PS,,Easy,First-Degree Equations,94,152,E,100834,Easy,0.05,Algebra
81,PS,,Easy,Algebraic Expressions,94,153,D,100224,Medium,0.25,Word Problems
82,PS,,Easy,Measurement Conversion,94,153,C,100741,Medium,0.45,Resolve Paradox
83,PS,,Easy,Simultaneous Equations,95,153,B,102024,Easy,0.05,Algebra
84,PS,,Easy,Inequalities,95,153,E,100835,Easy,0.15,Graphs and Illustrations
85,PS,,Easy,Applied Problems; First-Degree Equations,95,154,E,100885,Easy,0.05,Word Problems
86,PS,,Easy,Percents,95,154,D,100952,Easy,0.15,Word Problems
87,PS,,Easy,Functions,95,154,D,101011,Easy,0.05,Exponents; Roots
88,PS,,Easy,Percents,95,154,D,102025,Easy,0.05,Percent and Interest Problems
89,PS,,Easy,Applied Problems,95,155,D,101035,Easy,0.05,Probability
90,PS,,Easy,Percents,96,155,C,101036,Easy,0.05,Word Problems
91,PS,,Easy,Negative Exponents,96,155,D,101040,Easy,0.05,Exponents
92,PS,,Easy,Applied Problems; First-Degree Equations,96,155,C,101041,Medium,0.35,Word Problems
93,PS,,Easy,Order,96,156,A,101042,Easy,0.05,Min-Max Problems
94,PS,,Easy,Applied Problems; Percents,96,156,C,101043,Easy,0.15,Percent and Interest Problems; Word Problems
95,PS,,Easy,Ratio,96,157,B,101044,Easy,0.15,Fractions and Ratios
96,PS,,Easy,Formulas,96,157,E,101045,Easy,0.05,Arithmetic; Word Problems
97,PS,,Medium,Statistics,97,157,A,102026,Medium,0.45,Probability
98,PS,,Medium,Statistics,97,157,B,102027,Easy,0.15,Probability
99,PS,,Medium,Sets,97,158,E,100678,Easy,0.05,Overlapping Sets
100,PS,,Medium,Formulas,97,158,E,100772,Easy,0.05,Functions and Custom Characters
101,PS,,Medium,Algebraic Expressions,97,158,A,100788,Easy,0.05,Word Problems
102,PS,,Medium,Measurement Conversion,97,159,D,100816,Easy,0.15,Word Problems
103,PS,,Medium,Simplifying Algebraic Expressions,97,159,C,100165,Easy,0.05,Algebra
104,PS,,Medium,Formulas,98,159,E,100183,Easy,0.05,Arithmetic; Functions and Custom Characters
105,PS,,Medium,Statistics,98,159,B,102028,Medium,0.25,Statistics and Sets Problems
106,PS,,Medium,Ratio and Proportion,98,160,C,100823,Easy,0.15,Algebra; Must or Could be True Questions
107,PS,,Medium,Formulas,98,160,B,102029,Medium,0.35,Functions and Custom Characters
108,PS,,Medium,Second-Degree Equations,98,161,B,100935,Easy,0.15,Algebra
109,PS,,Medium,Percents,99,161,E,100869,Easy,0.15,Percent and Interest Problems
110,PS,,Medium,Applied Problems,99,161,B,100964,Easy,0.15,Word Problems
111,PS,,Medium,Statistics,99,162,E,100221,Medium,0.25,Arithmetic; Statistics and Sets Problems
112,PS,,Medium,Remainders,99,162,B,100136,Medium,0.35,Remainders
113,PS,,Medium,First-Degree Equations,99,162,E,100591,Medium,0.45,Word Problems
114,PS,,Medium,Series and Sequences,99,163,D,100153,Easy,0.15,Word Problems
115,PS,,Medium,Measurement Conversion,100,163,B,100734,Medium,0.45,Word Problems
116,PS,,Medium,Applied Problems,100,163,B,101008,Easy,0.15,Work and Rate Problems
117,PS,,Medium,Operations with Integers,100,163,C,100697,Easy,0.15,Algebra; Functions and Custom Characters
118,PS,,Medium,Percents; First-Degree Equations,100,164,A,100822,Easy,0.05,Algebra; Percent and Interest Problems
119,PS,,Medium,Applied Problems,100,164,A,102030,Very Hard,0.95,Arithmetic; Min-Max Problems
120,PS,,Medium,Percents; Ratio and Proportion,100,165,D,100105,Medium,0.25,Fractions and Ratios; Percent and Interest Problems
121,PS,,Medium,Simultaneous Equations,101,165,E,100997,Easy,0.15,Word Problems
122,PS,,Medium,Simplifying Algebraic Expressions; Operations on Rational Numbers,101,165,A,101007,Easy,0.15,Percent and Interest Problems
123,PS,,Medium,Second-Degree Equations,101,166,E,100125,Easy,0.15,Algebra
124,PS,,Medium,Statistics,101,166,E,102031,Easy,0.05,Statistics and Sets Problems
125,PS,,Medium,Sets,101,166,D,100900,Easy,0.15,Overlapping Sets
126,PS,,Medium,Exponents,101,167,B,100135,Easy,0.15,Exponents; Number Properties
127,PS,,Medium,Applied Problems,101,167,E,100990,Easy,0.05,Work and Rate Problems
128,PS,,Medium,Sets; Interpretation of Tables,102,167,E,100889,Medium,0.35,Overlapping Sets
129,PS,,Medium,Operations with Integers,102,168,D,100719,Easy,0.15,Arithmetic
130,PS,,Medium,Absolute Value; Number Line,102,168,E,100974,Easy,0.15,Statistics and Sets Problems
131,PS,,Medium,Inequalities,102,168,A,100892,Easy,0.15,Word Problems
132,PS,,Medium,Place Value,102,169,A,100116,Medium,0.25,Arithmetic
133,PS,,Medium,Sets,102,169,E,100809,Easy,0.05,Overlapping Sets
134,PS,,Medium,Sets,102,170,D,100898,Easy,0.05,Overlapping Sets
135,PS,,Medium,Applied Problems,103,170,A,102032,Medium,0.45,Multiples and Factors; Number Properties
136,PS,,Medium,Percents,103,170,D,100216,Medium,0.35,Word Problems; Arithmetic; Percent and Interest Problems; Graphs and Illustrations
137,PS,,Medium,Properties of Numbers,103,171,C,100735,Easy,0.05,Multiples and Factors
138,PS,,Medium,Measurement Conversion,103,171,D,100138,Easy,0.05,Word Problems
139,PS,,Medium,Second-Degree Equations,103,172,D,100732,Medium,0.45,Algebra
140,PS,,Medium,Functions,103,172,B,100111,Easy,0.15,Min-Max Problems; Algebra
141,PS,,Medium,Applied Problems,104,172,A,100828,Medium,0.35,Distance and Speed Problems
142,PS,,Medium,Applied Problems,104,172,D,100158,Medium,0.35,Percent and Interest Problems
143,PS,,Medium,Estimation,104,173,A,100893,Medium,0.25,Arithmetic
144,PS,,Medium,Applied Problems,104,173,E,100578,Medium,0.25,Work and Rate Problems
145,PS,,Medium,Probability,104,174,E,100676,Easy,0.15,Probability
146,PS,,Medium,Estimation; Exponents,104,174,E,100154,Medium,0.25,Word Problems
147,PS,,Medium,Equations,105,174,C,102034,Hard,0.55,Multiples and Factors
148,PS,,Medium,Percents,105,175,B,100797,Medium,0.45,Word Problems
149,PS,,Medium,Statistics,105,175,A,100132,Easy,0.15,Statistics and Sets Problems
150,PS,,Medium,Simplifying Algebraic Expressions,105,175,E,100274,Easy,0.15,Algebra
151,PS,,Medium,Operations with Integers,105,176,E,100737,Easy,0.05,Statistics and Sets Problems
152,PS,,Medium,Simultaneous Equations; Inequalities,106,176,E,100740,Medium,0.35,Algebra; Inequalities; Number Properties
153,PS,,Medium,Operations with Decimals; Place Value,106,176,D,100710,Medium,0.45,Fractions and Ratios
154,PS,,Medium,Elementary Combinatorics,106,176,C,100103,Easy,0.15,Combinations
155,PS,,Medium,Equations,106,177,E,102035,Medium,0.25,Roots; Number Properties
156,PS,,Medium,Properties of Integers; Series and Sequences,106,177,D,101047,Easy,0.05,Remainders; Exponents
157,PS,,Medium,Sets (Venn Diagrams),106,178,E,101048,Easy,0.15,Probability; Overlapping Sets
158,PS,,Medium,Applied Problems,106,178,B,101049,Easy,0.05,Percent and Interest Problems
159,PS,,Medium,Series and Sequences,106,178,D,101050,Medium,0.35,Sequences
160,PS,,Medium,Equations,107,178,E,101051,Medium,0.25,Must or Could be True Questions
161,PS,,Medium,Work Problem,107,179,E,101052,Medium,0.25,Work and Rate Problems
162,PS,,Medium,Order,107,179,A,101053,Medium,0.25,Statistics and Sets Problems
163,PS,,Medium,Ratio and Proportion,107,180,C,102036,Medium,0.45,Word Problems; Fractions and Ratios
164,PS,,Medium,Ratio and Proportion,107,180,E,102037,Medium,0.25,Statistics and Sets Problems
165,PS,,Medium,Series and Sequences,107,180,C,102038,Medium,0.25,Sequences
166,PS,,Medium,Applied Problems,107,180,B,102039,Hard,0.65,Distance and Speed Problems
167,PS,,Medium,Measurement Conversion,108,181,C,101058,Medium,0.25,Distance and Speed Problems
168,PS,,Medium,Functions,108,181,D,101059,Easy,0.15,Functions and Custom Characters
169,PS,,Medium,Equations; Factoring,108,181,C,101060,Easy,0.15,Exponents
170,PS,,Medium,Percents,108,182,E,102040,Medium,0.35,Percent and Interest Problems
171,PS,,Medium,Simultaneous Equations; Computation with Radical Expressions,108,182,D,101062,Medium,0.25,Absolute Values; Algebra
172,PS,,Medium,Equations,108,182,A,101063,Medium,0.35,Arithmetic
173,PS,,Medium,Percents,108,183,A,102041,Very Hard,0.75,Word Problems; Percent and Interest Problems
174,PS,,Medium,Applied Problems,109,183,B,102042,Medium,0.25,Distance and Speed Problems
175,PS,,Medium,Number Line,109,183,E,102043,Medium,0.25,Inequalities
176,PS,,Medium,Applied Problems,109,184,B,102044,Medium,0.35,Graphs and Illustrations; Coordinate Geometry
177,PS,,Hard,Applied Problems,109,184,E,100252,Easy,0.05,Word Problems
178,PS,,Hard,Elementary Combinatorics,109,184,D,100186,Medium,0.25,Combinations
179,PS,,Hard,Properties of Numbers,109,184,B,100120,Easy,0.15,Number Properties; Multiples and Factors
180,PS,,Hard,Probability,110,185,C,100712,Medium,0.25,Probability
181,PS,,Hard,Applied Problems,110,185,C,100253,Easy,0.05,Word Problems
182,PS,,Hard,Statistics,110,185,A,100937,Medium,0.25,Statistics and Sets Problems
183,PS,,Hard,Properties of Numbers; Decimals,110,186,A,100614,Hard,0.65,Fractions and Ratios
184,PS,,Hard,Elementary Combinatorics,110,186,B,100971,Medium,0.25,Combinations
185,PS,,Hard,Simultaneous Equations,110,187,E,100748,Easy,0.15,Algebra; Mixture Problems
186,PS,,Hard,Systems of Equations,111,187,E,100251,Easy,0.05,Word Problems
187,PS,,Hard,Statistics,111,187,B,100791,Medium,0.25,Statistics and Sets Problems
188,PS,,Hard,Applied Problems,111,188,B,100708,Easy,0.15,Overlapping Sets
189,PS,,Hard,Percents,111,188,C,100240,Easy,0.05,Percent and Interest Problems
190,PS,,Hard,Properties of Numbers,111,188,B,100122,Medium,0.25,Remainders
191,PS,,Hard,Second-Degree Equations; Simultaneous Equations,111,189,B,100256,Easy,0.05,Algebra
192,PS,,Hard,Simultaneous Equations; Inequalities,111,189,A,100832,Very Hard,0.75,Min-Max Problems; Word Problems
193,PS,,Hard,Statistics,111,189,B,100250,Easy,0.05,Statistics and Sets Problems
194,PS,,Hard,Applied Problems,112,190,E,100257,Easy,0.15,Fractions and Ratios; Mixture Problems
195,PS,,Hard,Operations on Rational Numbers,112,191,B,100258,Easy,0.05,Exponents; Inequalities
196,PS,,Hard,Probability,112,191,C,100245,Easy,0.05,Probability
197,PS,,Hard,Operations on Rational Numbers,112,191,D,100912,Medium,0.45,Word Problems
198,PS,,Hard,Interpretation of Graphs and Tables; Statistics,112,192,C,100572,Medium,0.25,Graphs and Illustrations; Statistics and Sets Problems
199,PS,,Hard,Properties of Numbers,112,192,B,101075,Easy,0.15,Multiples and Factors; Exponents; Functions and Custom Characters; Number Properties
200,PS,,Hard,Statistics,112,193,D,100969,Medium,0.35,Statistics and Sets Problems
201,PS,,Hard,Applied Problems,113,193,E,100913,Medium,0.45,Word Problems
202,PS,,Hard,Second-Degree Equations,113,193,D,100940,Medium,0.35,Algebra
203,PS,,Hard,Percents,113,193,B,100888,Medium,0.45,Percent and Interest Problems
204,PS,,Hard,Probability,113,194,C,100955,Easy,0.15,Probability
205,PS,,Hard,Statistics,113,195,E,100901,Very Hard,0.85,Statistics and Sets Problems
206,PS,,Hard,Percents,113,196,C,100173,Medium,0.35,Percent and Interest Problems
207,PS,,Hard,Operations with Integers,114,197,B,100831,Medium,0.45,Word Problems
208,PS,,Hard,Properties of Numbers,114,197,C,100907,Easy,0.15,Exponents; Number Properties
209,PS,,Hard,Properties of Numbers,114,198,C,100333,Medium,0.45,Multiples and Factors
210,PS,,Hard,Properties of Numbers,114,198,E,100829,Medium,0.45,Remainders; Word Problems
211,PS,,Hard,Applied Problems,114,198,B,100149,Medium,0.35,Work and Rate Problems
212,PS,,Hard,Equations,114,199,D,100925,Easy,0.05,Algebra
213,PS,,Hard,Properties of Numbers,114,199,B,100192,Medium,0.45,Number Properties
214,PS,,Hard,Elementary Combinatorics,115,199,B,100156,Hard,0.55,Combinations
215,PS,,Hard,Applied Problems,115,199,B,100944,Medium,0.35,Algebra; Min-Max Problems
216,PS,,Hard,Inequalities,115,200,D,100911,Easy,0.05,Inequalities
217,PS,,Hard,Applied Problems; Simultaneous Equations,115,200,C,100242,Easy,0.05,Word Problems
218,PS,,Hard,Operations on Rational Numbers,115,200,C,100259,Easy,0.05,Combinations
219,PS,,Hard,Second-Degree Equations,115,200,B,100260,Hard,0.65,Word Problems
220,PS,,Hard,Properties of Numbers,115,201,E,100942,Easy,0.05,Inequalities; Must or Could be True Questions; Number Properties; Fractions and Ratios
221,PS,,Hard,Applied Problems,116,202,A,100261,Medium,0.25,Word Problems
222,PS,,Hard,Applied Problems,116,202,A,100262,Medium,0.25,Percent and Interest Problems
223,PS,,Hard,Estimation,116,202,D,100263,Medium,0.35,Word Problems; Distance and Speed Problems; Min-Max Problems
224,PS,,Hard,Inequalities,116,203,E,100264,Easy,0.05,Absolute Values; Inequalities
225,PS,,Hard,Statistics; Applied Problems,116,203,D,100265,Easy,0.05,Statistics and Sets Problems; Word Problems
226,PS,,Hard,Properties of Numbers,116,203,E,100266,Easy,0.15,Number Properties
227,PS,,Hard,Profit and Loss,116,204,A,100887,Easy,0.15,Arithmetic; Functions and Custom Characters
228,PS,,Hard,Operations on Rational Numbers,117,204,C,100244,Easy,0.15,Sequences; Statistics and Sets Problems
229,PS,,Hard,Simplifying Algebraic Expressions,117,204,C,100910,Easy,0.05,Sequences
230,PS,,Hard,Applied Problems,117,204,E,100241,Medium,0.45,Distance and Speed Problems
231,PS,,Hard,Properties of Numbers,117,205,A,100983,Medium,0.25,Exponents; Number Properties
232,PS,,Hard,Elementary Combinatorics,117,205,D,100616,Medium,0.25,Combinations
233,PS,,Hard,Operations on Rational Numbers,117,206,B,100184,Hard,0.55,Fractions and Ratios; Exponents
234,PS,,Hard,Simplifying Expressions; Computation with Integers,117,206,B,101001,Medium,0.45,Arithmetic; Number Properties
235,PS,,Hard,Operations with Integers,118,207,A,100776,Medium,0.45,Word Problems
236,PS,,Hard,Rate,118,207,D,100217,Medium,0.35,Number Properties
237,PS,,Hard,Sequences,118,207,D,100908,Hard,0.55,Sequences
238,PS,,Hard,Percents,118,207,D,100986,Hard,0.65,Percent and Interest Problems
239,PS,,Hard,Applied Problems,118,208,D,100982,Very Hard,0.75,Overlapping Sets; Word Problems
240,PS,,Hard,Negative Exponents,118,208,D,100830,Easy,0.05,Exponents
241,PS,,Hard,Percents,119,209,D,100785,Very Hard,0.85,Percent and Interest Problems
242,PS,,Hard,Statistics,119,209,D,100946,Medium,0.45,Min-Max Problems; Fractions and Ratios
243,PS,,Hard,Simplifying Algebraic Expressions,119,210,E,100818,Easy,0.05,Sequences
244,PS,,Hard,Properties of Numbers,119,210,E,100246,Hard,0.55,Arithmetic; Min-Max Problems
245,PS,,Hard,Elementary Combinatorics,119,210,D,100721,Medium,0.45,Combinations
246,PS,,Hard,Operations on Rational Numbers,119,211,D,100852,Very Hard,0.85,Algebra; Arithmetic
247,PS,,Hard,Percents,120,211,D,100617,Very Hard,0.95,Word Problems
248,PS,,Hard,Statistics; Applied Problems; Simultaneous Equations,120,212,E,100760,Easy,0.15,Statistics and Sets Problems
249,PS,,Hard,Applied Problems,120,212,A,100267,Easy,0.05,Arithmetic
250,PS,,Hard,Applied Problems,120,213,D,100268,Easy,0.15,Algebra
251,PS,,Hard,Probability,120,213,E,100269,Easy,0.05,Probability
252,PS,,Hard,Second-Degree Equations,120,213,C,100270,Easy,0.05,Algebra; Must or Could be True Questions
253,PS,,Hard,Operations on Rational Numbers,121,214,B,100271,Easy,0.05,Arithmetic; Exponents
254,PS,,Hard,Operations on Rational Numbers,121,214,B,100272,Very Hard,0.95,Min-Max Problems
255,PS,,Hard,Second-Degree Equations,121,215,C,100699,Easy,0.05,Algebra
256,PS,,Hard,Applied Problems,121,216,B,100243,Medium,0.25,Mixture Problems
257,PS,,Hard,Inequalities,121,216,D,100273,Very Hard,0.75,Inequalities
258,PS,,Hard,Sets,121,217,D,100197,Hard,0.55,Overlapping Sets
259,PS,,Hard,Negative Exponents,122,217,B,100954,Easy,0.15,Assumption
260,PS,,Hard,Fractions; Decimals,122,218,E,100992,Medium,0.35,Fractions and Ratios
261,PS,,Hard,Exponents,122,218,D,101064,Easy,0.15,Exponents
262,PS,,Hard,Probability; Elementary Combinatorics,122,219,D,101065,Medium,0.35,Probability
263,PS,,Hard,Applied Problems; Estimation,122,219,C,101066,Very Hard,0.75,Word Problems
264,PS,,Hard,Properties of Integers,122,220,D,101067,Medium,0.25,Multiples and Factors; Number Properties
265,PS,,Hard,Statistics,123,220,D,101068,Hard,0.55,Statistics and Sets Problems; Remainders
266,PS,,Hard,Applied Problems; First-Degree Equations,123,220,E,101069,Medium,0.45,Percent and Interest Problems
267,PS,,Hard,Properties of Integers,123,221,C,101070,Medium,0.45,Number Properties
268,PS,,Hard,Applied Problems,123,221,A,101071,Medium,0.25,Mixture Problems
269,PS,,Hard,Elementary Combinatorics,123,221,D,101072,Medium,0.25,Combinations
270,PS,,Hard,Estimation; Operations on Radical Expressions,123,222,E,101073,Medium,0.35,Roots
271,PS,,Hard,Series and Sequences; First-Degree Equations,124,222,D,101074,Medium,0.45,Word Problems
272,PS,,Hard,Series and Sequences,124,223,A,102045,Very Hard,0.95,Sequences
273,DS,,Easy,Applied Problems,258,276,C,100109,Easy,0.05,Word Problems
274,DS,,Easy,Ratio and Proportion,258,276,A,100794,Easy,0.05,Algebra
275,DS,,Easy,Applied Problems,258,277,E,100886,Easy,0.05,Statistics and Sets Problems
276,DS,,Easy,Statistics,258,277,D,100770,Easy,0.05,Arithmetic
277,DS,,Easy,Ratio and Proportion,258,277,C,100150,Easy,0.05,Word Problems
278,DS,,Easy,Simultaneous Equations,258,278,C,100960,Easy,0.05,Fractions and Ratios; Word Problems
279,DS,,Easy,Ratio and Proportion,258,278,C,100231,Easy,0.15,Fractions and Ratios; Mixture Problems; Word Problems
280,DS,,Easy,Ratio and Proportion,259,278,E,100198,Easy,0.05,Overlapping Sets
281,DS,,Easy,Statistics,259,279,C,100861,Easy,0.05,Word Problems
282,DS,,Easy,Ratio and Proportion,259,280,C,100759,Easy,0.05,Word Problems
283,DS,,Easy,Statistics,259,280,E,100505,Easy,0.05,Statistics and Sets Problems
284,DS,,Easy,Statistics,259,280,C,100117,Easy,0.05,Word Problems
285,DS,,Easy,Ratio and Proportion,259,281,E,100728,Easy,0.05,Word Problems
286,DS,,Easy,Applied Problems,259,282,C,100967,Easy,0.05,Probability
287,DS,,Easy,Simultaneous Equations,259,282,C,100145,Easy,0.05,Word Problems
288,DS,,Easy,Ratio and Proportion,259,282,A,100919,Easy,0.05,Word Problems
289,DS,,Easy,Applied Problems,259,283,C,100655,Easy,0.05,Work and Rate Problems
290,DS,,Easy,Equations,260,283,E,102046,Easy,0.15,Word Problems
291,DS,,Easy,Simultaneous Equations,260,284,E,100985,Easy,0.05,Word Problems
292,DS,,Easy,Sets,260,284,E,100962,Easy,0.05,Overlapping Sets
293,DS,,Easy,Equations,260,284,D,102047,Easy,0.15,Overlapping Sets
294,DS,,Easy,Statistics,260,285,C,102048,Easy,0.05,Statistics and Sets Problems
295,DS,,Easy,Statistics,260,285,,102049,Medium,0.35,Overlapping Sets
296,DS,,Easy,Statistics,260,285,B,102050,Easy,0.05,Statistics and Sets Problems
297,DS,,Easy,Order,260,286,C,100137,Medium,0.25,Word Problems
298,DS,,Easy,Sets,260,286,E,100169,Easy,0.05,Overlapping Sets
299,DS,,Easy,Sets,260,287,C,100696,Medium,0.25,Overlapping Sets
300,DS,,Easy,Applied Problems,260,287,A,100722,Easy,0.15,Percent and Interest Problems
301,DS,,Easy,Probability,261,287,E,100805,Easy,0.05,Probability
302,DS,,Easy,Estimation,261,288,C,102051,Easy,0.05,Word Problems
303,DS,,Easy,Applied Problems,261,288,B,100782,Medium,0.25,Word Problems
304,DS,,Easy,Inequalities,261,288,B,100731,Easy,0.15,Inequalities
305,DS,,Easy,Simultaneous Equations,261,289,B,100282,Easy,0.05,Word Problems
306,DS,,Easy,Simultaneous Equations,261,289,D,100283,Easy,0.05,Algebra; Word Problems
307,DS,,Easy,Simultaneous Equations,261,289,E,100285,Medium,0.25,Word Problems
308,DS,,Easy,Percents,261,290,A,100247,Easy,0.05,Percent and Interest Problems
309,DS,,Easy,Rate Problem,261,290,C,100238,Easy,0.05,Distance and Speed Problems
310,DS,,Easy,Inference,261,291,E,101076,Medium,0.25,Non-Math Related
