sezione,domanda,tipo,pagina_pdf,risposta,incipit
Topic 1 - General Arithmetic,1,PS,4,,"Two years ago, Arthur gave each of his five children 20 percent of his fortune to invest i..."
Topic 1 - General Arithmetic,2,PS,4,,"A car dealership has 40 cars on the lot, 30% of which are silver. If the dealership receiv..."
Topic 1 - General Arithmetic,3,PS,4,,"Paul's income is 40% less than Rex's income, Quentin's income is 20% less than Paul's inco..."
Topic 1 - General Arithmetic,4,PS,4,,A school’s annual budget for the purchase of student computers increased by 60% this year...
Topic 1 - General Arithmetic,5,PS,4,,Boomtown urban planners expect the city’s population to increase by 10% per year over the...
Topic 1 - General Arithmetic,6,PS,4,,A retailer bought a shirt at wholesale and marked it up 80% to its initial retail price of...
Topic 1 - General Arithmetic,7,PS,4,,A certain NYC taxi driver has decided to start charging a rate of r cents per person per m...
Topic 1 - General Arithmetic,8,PS,4,,"Bob just filled his car's gas tank with 20 gallons of gasohol, a mixture consisting of 5%..."
Topic 1 - General Arithmetic,9,PS,4,,Which of the following values is closest to 1/3 + 0.4 + 65%? 1.1 1.2 1.3 1.4 1.5
Topic 1 - General Arithmetic,10,PS,4,,A certain tank is filled to one quarter of its capacity with a mixture consisting of water...
Topic 1 - General Arithmetic,11,PS,4,,The useful life of a certain piece of equipment is determined by the following formula: u...
Topic 1 - General Arithmetic,12,PS,5,,"If m > 0, y > 0, and x is m percent of 2y, then, in terms of y, m is what percent of x? y/..."
Topic 1 - General Arithmetic,13,PS,5,,x% of y is increased by x%. What is the result in terms of x and y? 100xy + x xy + x/100 1...
Topic 1 - General Arithmetic,14,PS,5,,The manufacturer’s suggested retail price (MSRP) of a certain item is $60. Store A sells t...
Topic 1 - General Arithmetic,15,PS,5,,"Two years ago, Sam put $1,000 into a savings account. At the end of the first year, his ac..."
Topic 1 - General Arithmetic,16,PS,5,,The price of a certain painting increased by 20% during the first year and decreased by 15...
Topic 1 - General Arithmetic,17,PS,5,,If an item that originally sold for z dollars was marked up by x percent and then discount...
Topic 1 - General Arithmetic,18,PS,5,,A clock store sold a certain clock to a collector for 20 percent more than the store had o...
Topic 1 - General Arithmetic,19,PS,5,,90 students represent x percent of the boys at Jones Elementary School. If the boys at Jon...
Topic 1 - General Arithmetic,20,PS,5,,Cindy has her eye on a sundress but thinks it is too expensive. It goes on sale for 15% le...
Topic 1 - General Arithmetic,21,PS,5,,"Jennifer has 60 dollars more than Brian. If she were to give Brian 1/5 of her money, Brian..."
Topic 1 - General Arithmetic,22,PS,5,,The average computer price today is $700. If the average computer price three years ago wa...
Topic 1 - General Arithmetic,23,PS,5,,A small pool filled only with water will require an additional 300 gallons of water in ord...
Topic 1 - General Arithmetic,24,PS,6,,0.2% of (3/4)2 × (160 ÷ 10H2) = 1.8 × 10 H3 1.8 × 10H2 1.8 1.8 × 10 1.8 × 10 2
Topic 1 - General Arithmetic,25,PS,6,,0.35 represents what percent of 0.007? 0.05% 0.5% 5% 500% 5000%
Topic 1 - General Arithmetic,26,DS,6,,"The price of a certain property increased by 10% in the first year, decreased by 20% in th..."
Topic 1 - General Arithmetic,27,DS,6,,A certain salesman's yearly income is determined by a base salary plus a commission on the...
Topic 1 - General Arithmetic,28,DS,6,,"In the month of June, a street vendor sold 10% more hot dogs than he sold in the month of..."
Topic 1 - General Arithmetic,29,DS,6,,"A sales associate earns a commission of 8% on her first $10,000 in sales revenue in a give..."
Topic 1 - General Arithmetic,30,DS,6,,"A certain football team played x games last season, of which the team won exactly y games...."
Topic 1 - General Arithmetic,31,DS,6,,"In 1994, Company X recorded profits that were 10% greater than in 1993, and in 1993 the co..."
Topic 1 - General Arithmetic,32,DS,6,,All of the furniture for sale at Al’s Discount Furniture is offered for less than the manu...
Topic 1 - General Arithmetic,33,DS,6,,The total cost of producing item X is equal to the sum of item X's fixed cost and variable...
Topic 1 - General Arithmetic,34,DS,6,,"Of all the attendees at a dinner party, 40% were women. If each attendee arrived at the pa..."
Topic 1 - General Arithmetic,36,PS,7,,"Three grades of milk are 1 percent, 2 percent, and 3 percent by volume. If x gallons of 1..."
Topic 1 - General Arithmetic,37,DS,7,,"Whenever Martin has a restaurant bill with an am ount between $10 and $99, he calculates t..."
Topic 1 - General Arithmetic,38,DS,7,,"Jack and Mark both received hourly wage increases of 6 percent. After the increases, Jack'..."
Topic 1 - General Arithmetic,39,DS,7,,A manufacture produced x percent more video cameras in 1994 than in 1993 and y percent mor...
Topic 1 - General Arithmetic,40,DS,7,,What fraction of this year's graduation students at a certain college are males? (1) Of th...
Topic 1 - General Arithmetic,41,DS,7,,"If y is greater than 110 percent of x, is y greater than 75? (1) x >75 (2) y – x = 10"
Topic 1 - General Arithmetic,42,DS,7,,At least 10 percent of the people in Country X who are 65 year old or older employed? (1)...
Topic 1 - General Arithmetic,43,DS,7,,In 1999 company X's gross profit was what percent of its revenue? (1) In 1999 company X's...
Topic 1 - General Arithmetic,44,DS,7,,Henry purchased 3 items during a sale. He received a 20 percent discount off the regular p...
Topic 1 - General Arithmetic,45,PS,7,,The rate of a certain chemical reaction is directly proportional to the square of the conc...
Topic 1 - General Arithmetic,46,PS,7,,"Of the 800 employees in a certain company, 70% have serviced more than 10 years. A number..."
Topic 1 - General Arithmetic,47,PS,7,,"Before being simplified, the instructions for computing income tax in Country R were to ad..."
Topic 1 - General Arithmetic,48,PS,8,,"A certain city with population of 132,000 is to be divided into 11 voting districts, and n..."
Topic 1 - General Arithmetic,49,PS,8,,"At the end of the first quarter, the share price of a certain mutual fund was 20 percent h..."
Topic 1 - General Arithmetic,50,PS,8,,A furniture dealer purchased a desk for $150 and then set the selling price equal to the p...
Topic 1 - General Arithmetic,51,PS,8,,"Bobby bought two shares of stock, which sold for $96 each. If he had a profit of 20 percen..."
Topic 1 - General Arithmetic,52,PS,8,,In May Mr. Lee's earings were 60 percent of the Lee family's total income. In June Mr. Lee...
Topic 1 - General Arithmetic,53,PS,8,,Amy's grade was the 90th percentile of the 80 grades for her class. Of the 100 grades from...
Topic 1 - General Arithmetic,1,PS,8,,Machine A and Machine B can produce 1 widget in 3 hours working together at their respecti...
Topic 1 - General Arithmetic,2,PS,8,,Adam and Brianna plan to install a new tile floor in a classroom. Adam works at a constant...
Topic 1 - General Arithmetic,3,PS,8,,"A copy machine, working at a constant rate, makes 35 copies per minute. A second copy mach..."
Topic 1 - General Arithmetic,4,PS,8,,"Tom, working alone, can paint a room in 6 hours. Peter and John, working independently, ca..."
Topic 1 - General Arithmetic,5,PS,9,,Machine A can complete a certain job in x hours. Machine B can complete the same job in y...
Topic 1 - General Arithmetic,6,PS,9,,Lindsay can paint 1/x of a certain room in 20 minutes. What fraction of the same room can...
Topic 1 - General Arithmetic,7,PS,9,,"One smurf and one elf can build a treehouse together in two hours, but the smurf would nee..."
Topic 1 - General Arithmetic,8,PS,9,,"At Supersonic Corporation, the time required for a machine to complete a job is determined..."
Topic 1 - General Arithmetic,9,PS,9,,A paint crew gets a rush order to paint 80 houses in a new development. They paint the fir...
Topic 1 - General Arithmetic,10,DS,9,,"The thirdHplace finisher of the Allen County hot dog eating contest, in which each contest..."
Topic 1 - General Arithmetic,11,DS,9,,"On Sunday morning, a printing press printed its newspapers at a constant rate from 1:00 AM..."
Topic 1 - General Arithmetic,12,DS,9,,Machine A can fill an order of widgets in a hours. Machine B can fill the same order of wi...
Topic 1 - General Arithmetic,13,DS,9,,"Reserve tank 1 is capable of holding z gallons of water. Water is pumped into tank 1, whic..."
Topic 1 - General Arithmetic,14,DS,9,,Bill can dig a well in x! hours. Carlos can dig the same well in y! hours. If q is the num...
Topic 1 - General Arithmetic,15,PS,9,,"Working alone at its own constant rate, a machine seals k cartons in 8 hours, and working..."
Topic 1 - General Arithmetic,1,PS,10,,"Bob bikes to school every day at a steady rate of x miles per hour. On a particular day, B..."
Topic 1 - General Arithmetic,2,PS,10,,"Lexy walks 5 miles from point A to point B in one hour, then bicycles back to point A alon..."
Topic 1 - General Arithmetic,3,PS,10,,Triathlete Dan runs along a 2Hmile stretch of river and then swims back along the same rou...
Topic 1 - General Arithmetic,4,PS,10,,Tom and Linda stand at point A. Linda begins to walk in a straight line away from Tom at a...
Topic 1 - General Arithmetic,5,PS,10,,It takes the highHspeed train x hours to travel the z miles from Town A to Town B at a con...
Topic 1 - General Arithmetic,6,PS,10,,The ‘moving walkway’ is a 300Hfoot long conveyor belt that moves continuously at 3 feet pe...
Topic 1 - General Arithmetic,7,PS,10,,"John and Jacob set out together on bicycle traveling at 15 and 12 miles per hour, respecti..."
Topic 1 - General Arithmetic,8,PS,10,,"Stephanie, Regine, and Brian ran a 20 mile race. Stephanie and Regine's combined times exc..."
Topic 1 - General Arithmetic,9,PS,10,,A car traveled from Los Angeles to San Francisco in 6 hours at an average rate of x miles...
Topic 1 - General Arithmetic,10,PS,10,,Deb normally drives to work in 45 minutes at an average speed of 40 miles per hour. This w...
Topic 1 - General Arithmetic,11,PS,11,,Alex and Brenda both stand at point X. Alex begins to walk away from Brenda in a straight...
Topic 1 - General Arithmetic,12,PS,11,,"On Monday, Lou drives his ford escort with 28Hinch tires, averaging x miles per hour. On T..."
Topic 1 - General Arithmetic,13,PS,11,,Martha takes a road trip from point A to point B. She drives x percent of the distance at...
Topic 1 - General Arithmetic,14,PS,11,,A notHsoHgood clockmaker has four clocks on display in the window. Clock #1 loses 15 minut...
Topic 1 - General Arithmetic,15,PS,11,,At exactly what time past 7:00 will the minute and hour hands of an accurate working clock...
Topic 1 - General Arithmetic,16,PS,11,,The figure below represents a track with identical semiHcircular ends used for a 4Hlap rel...
Topic 1 - General Arithmetic,17,DS,11,,What is the distance between Harry’s home and his office? (1) Harry’s average speed on his...
Topic 1 - General Arithmetic,18,DS,12,,Bob and Wendy left home to walk together to a restaurant for dinner. They started out walk...
Topic 1 - General Arithmetic,19,DS,12,,If a car traveled from Townsend to Smallville at an average speed of 40 mph and then retur...
Topic 1 - General Arithmetic,20,DS,12,,What was Bill's average speed on his trip of 250 miles from New York City to Boston? (1) T...
Topic 1 - General Arithmetic,21,DS,12,,Train A leaves New York for Boston at 3 PM and travels at the constant speed of 100 mph. A...
Topic 1 - General Arithmetic,22,DS,12,,Edwin is planning to drive from Boston to New Orleans. By what percent would his travel ti...
Topic 1 - General Arithmetic,23,DS,12,,Trains A and B travel at the same constant rate in opposite directions along the same rout...
Topic 1 - General Arithmetic,25,DS,12,,"If it took Carol 1/2 hour to cycle from his house to the library yesterday, was the distan..."
Topic 1 - General Arithmetic,26,DS,13,,How much time did it take a certain car to trave l 400 kilometers? (1) The car traveled th...
Topic 1 - General Arithmetic,27,DS,13,,"On his trip from Alba to Bento, Julio drove the first x miles at an average rate of 50 mil..."
Topic 1 - General Arithmetic,28,PS,13,,A hiker walking at a constant rate of 4 miles per hour is passed by a cyclist traveling in...
Topic 1 - General Arithmetic,29,PS,13,,A boat traveled upstream a distance of 90 miles at an average speed of (VH3) miles per hou...
Topic 1 - General Arithmetic,1,PS,13,,Jolene entered an 18Hmonth investment contract that guarantees to pay 2 percent interest a...
Topic 1 - General Arithmetic,2,PS,13,,Wes works at a science lab that conducts experiments on bacteria. The population of the ba...
Topic 1 - General Arithmetic,3,PS,13,,The population of locusts in a certain swarm doubles every two hours. If 4 hours ago there...
Topic 1 - General Arithmetic,4,PS,13,,An investor purchased a share of nonHdividendHpaying stock for p dollars on Monday. For a...
Topic 1 - General Arithmetic,5,PS,13,,"A certain investment grows at an annual interest rate of 8%, compounded quarterly. Which o..."
Topic 1 - General Arithmetic,6,PS,13,,"Jim needs $1,000 to buy a new flatHscreen TV. Since he has only $7, he borrows the remanin..."
Topic 1 - General Arithmetic,7,PS,14,,Louie takes out a threeHmonth loan of $1000. The lender charges him 10% interest per month...
Topic 1 - General Arithmetic,8,PS,14,,Donald plans to invest x dollars in a savings account that pays interest at an annual rate...
Topic 1 - General Arithmetic,9,DS,14,,The number of antelope in a certain herd increases every year at a constant rate. If there...
Topic 1 - General Arithmetic,10,DS,14,,"A scientist is studying bacteria whose cell population doubles at constant intervals, at w..."
Topic 1 - General Arithmetic,11,DS,14,,Grace makes an initial deposit of x dollars into a savings account with a z percent intere...
Topic 1 - General Arithmetic,12,DS,14,,A certain sum was invested in a highHinterest bond for which the interest is compounded mo...
Topic 1 - General Arithmetic,1,PS,14,,Which of the following fractions is at least twice as great as 11/50? 2/5 11/34 43/99 8/21...
Topic 1 - General Arithmetic,2,PS,14,,"At the beginning of the year, the ratio of juniors to seniors in high school X was 3 to 4...."
Topic 1 - General Arithmetic,3,PS,14,,3/5 of a certain class left on a field trip. 1/3 of the students who stayed behind did not...
Topic 1 - General Arithmetic,4,PS,14,,The ratio of boys to girls in Class A is 3 to 4. The ratio of boys to girls in Class B is...
Topic 1 - General Arithmetic,5,PS,15,,John's front lawn is 1/3 the size of his back lawn. If John mows 1/2 of his front lawn and...
Topic 1 - General Arithmetic,6,PS,15,,"At Jefferson Elementary School, the number of teachers and students (kindergarten through..."
Topic 1 - General Arithmetic,7,PS,15,,A certain galaxy is known to comprise approximately 4 x 10 11 stars. Of every 50 million o...
Topic 1 - General Arithmetic,8,PS,15,,A lemonade stand sold only small and large cups of lemonade on Tuesday. 3/5 of the cups so...
Topic 1 - General Arithmetic,9,PS,15,,"Miguel is mixing up a salad dressing. Regardless of the number of servings, the recipe req..."
Topic 1 - General Arithmetic,10,PS,15,,Harold and Millicent are getting married and need to combine their alreadyHfull libraries....
Topic 1 - General Arithmetic,11,PS,15,,"In a certain pet shop, the ratio of dogs to cats to bunnies in stock is 3 : 5 : 7. If the..."
Topic 1 - General Arithmetic,12,PS,15,,"A foreign language club at Washington Middle School consists of n students, 2/5 of whom ar..."
Topic 1 - General Arithmetic,13,PS,15,,A certain ball team has an equal number of rightH and leftHhanded players. On a certain da...
Topic 1 - General Arithmetic,14,PS,15,,"Bag A contains red, white and blue marbles such that the red to white marble ratio is 1:3..."
Topic 1 - General Arithmetic,15,PS,15,,"The ratio by weight, measured in pounds, of books to clothes to electronics in Jorge's sui..."
Topic 1 - General Arithmetic,16,DS,16,,"Joe, Bob and Dan worked in the ratio of 1:2:4 hours, respectively. How many hours did Bob..."
Topic 1 - General Arithmetic,17,DS,16,,In 2003 Acme Computer priced its computers five times higher than its printers. What is th...
Topic 1 - General Arithmetic,18,DS,16,,"If Pool Y currently contains more water than Pool X, and if Pool X is currently filled to..."
Topic 1 - General Arithmetic,19,DS,16,,Three business partners shared all the proceeds from the sale of their privately held comp...
Topic 1 - General Arithmetic,20,DS,16,,"In a piggy bank filled with only pennies, nickels, and dimes, what is the ratio of pennies..."
Topic 1 - General Arithmetic,21,DS,16,,"In a certain solution consisting of only two chemicals, for every 3 milliliters of Chemica..."
Topic 1 - General Arithmetic,22,DS,16,,"On a certain sightHseeing tour, the ratio of the number of women to the number of children..."
Topic 1 - General Arithmetic,23,DS,16,,"Each employee of Company Z is an employee of either Division X or Division Y, but not both..."
Topic 1 - General Arithmetic,24,DS,16,,"Of the 60 animals on a certain farm, 2/3 are either pigs or cows. How many of the animals..."
Topic 1 - General Arithmetic,25,DS,16,,Malik's recipe for 4 servings of a certain dish requires 3/2 cups of pasta. According to t...
Topic 2 - Statistics,1,PS,17,,The table below provides revenues of a certain company in 2002 and 2003. By what percent d...
Topic 2 - Statistics,2,PS,17,,"During 2005, a company produced an average of 2,000 products per month. How many products..."
Topic 2 - Statistics,3,PS,17,,"After his first semester in college, Thomas is applying for a scholarship that has a minim..."
Topic 2 - Statistics,4,PS,17,,"A certain portfolio consisted of 5 stocks, priced at $20, $35, $40, $45, and $70, respecti..."
Topic 2 - Statistics,5,PS,17,,"If John makes a contribution to a charity fund at school, the average contribution size wi..."
Topic 2 - Statistics,6,PS,17,,"What is the minimum percentage increase in the mean of set X {H4, H1, 0, 6, 9} if its two..."
Topic 2 - Statistics,7,DS,17,,"If every member of set X {H14, H12, 17, 28, 41, Z} is multiplied by number N, by what perc..."
Topic 2 - Statistics,8,PS,17,,"Which of the following series of numbers, if added to the set {1, 6, 11, 16, 21}, will not..."
Topic 2 - Statistics,9,PS,17,,"If numbers N and K are added to set X {2, 8, 10, 12}, its mean will increase by 25%. What..."
Topic 2 - Statistics,10,DS,17,,"Set X consists of different positive numbers arranged in ascending order: K, L, M, 5, 7. I..."
Topic 2 - Statistics,11,DS,18,,"A group of men and women gathered to compete in a marathon. Before the competition, each c..."
Topic 2 - Statistics,12,PS,18,,"The mean of (54,820)2 and (54,822)2 = (A) (54,821) 2 (B) (54,821.5)2 (C) (54,820.5)2 (D) (..."
Topic 2 - Statistics,14,PS,18,,A convenience store currently stocks 48 bottles of mineral water. The bottles have two siz...
Topic 2 - Statistics,15,DS,18,,"Last year, the five employees of Company X took an average of 16 vacation days each. What..."
Topic 2 - Statistics,16,DS,18,,"In a room of men and women, the average weight of the women is 120 lbs, and the average we..."
Topic 2 - Statistics,17,PS,18,,"If set R contains the consecutive integers from H5 to H1, what is the mean of set R? H5 H3..."
Topic 2 - Statistics,18,DS,18,,"In Greenville last July, what was the average (arithmetic mean) home sale price? (1) In Gr..."
Topic 2 - Statistics,19,PS,18,,"x, y, and z are positive integers. The average (arithmetic mean) of x, y, and z is 11. If..."
Topic 2 - Statistics,20,PS,18,,"Set A contains the consecutive integers ranging from x to y, inclusive. If the number of i..."
Topic 2 - Statistics,21,DS,18,,"In a work force, the employees are either managers or directors. What is the percentage of..."
Topic 2 - Statistics,22,PS,18,,"In the first week of last month, Company X realized an average wholesale profit of $5304 p..."
Topic 2 - Statistics,23,PS,19,,A certain bank has ten branches. What is the total amount of assets under management at th...
Topic 2 - Statistics,10,PS,19,,"The result is $400,000 per customer. (2) The bank has a total of 4,000 customers. When the..."
Topic 2 - Statistics,24,DS,19,,"Three baseball teams, A, B, and C, play in a seasonal league. The ratio of the number of p..."
Topic 2 - Statistics,25,DS,19,,The average score of x number of exams is y. When an additional exam of score z is added i...
Topic 2 - Statistics,26,DS,19,,A new cell phone plan is offering pricing based on average monthly use. Brandon and Jodie...
Topic 2 - Statistics,27,DS,19,,"On Jane's credit card account, the average daily balance for a 30Hday billing cycle is ave..."
Topic 2 - Statistics,28,DS,19,,L spends total $6.00 for one kind of D and one kind of C. How many D did he buy? (1) the p...
Topic 2 - Statistics,29,DS,19,,"x, y, and z are consecutive integers, and x < y < z. What is the average of x, y, and z? (..."
Topic 2 - Statistics,1,PS,19,,"Set A consists of numbers {H2, 27.5, H6, 18.3, 9} and set B consists of numbers {H199, 0.3..."
Topic 2 - Statistics,2,PS,19,,Which of the following could be the median of a set consisting of 6 different primes? (A)...
Topic 2 - Statistics,3,PS,19,,"The median annual household income in a certain community of 21 households is $50,000. If..."
Topic 2 - Statistics,4,DS,19,,"What is the median of set A {H8, 15, H9, 4, N}? (1) N is a prime and N 6 is even (2) 2N +..."
Topic 2 - Statistics,5,PS,19,,"T is a set of y integers, where 0 < y < 7. If the average of Set T is the positive integer..."
Topic 2 - Statistics,6,PS,20,,"a, b, and c are integers and a < b < c. S is the set of all integers from a to b, inclusiv..."
Topic 2 - Statistics,7,PS,20,,Jim Broke’s only source of income comes from his job as a question writer. In this capacit...
Topic 2 - Statistics,8,DS,20,,"Set A, Set B, and Set C each contain only positive integers. If Set A is composed entirely..."
Topic 2 - Statistics,9,DS,20,,"If x and y are unknown positive integers, is the mean of the set {6, 7, 1, 5, x, y} greate..."
Topic 2 - Statistics,10,PS,20,,"Given the ascending set {x, x, y, y, y, y}. What is greater, the median or the mean?"
Topic 2 - Statistics,11,PS,20,,"There is a set of numbers in ascending order: {y H x, y, y, y, y, x, x, x, x + y}. If the..."
Topic 2 - Statistics,12,PS,20,,"During a behavioral experiment in a psychology class, each student is asked to compute his..."
Topic 2 - Statistics,13,DS,20,,"Given the ascending set of positive integers { a, b, c, d, e, f}, is the median greater th..."
Topic 2 - Statistics,14,PS,20,,"For the set of terms [ x, y, x + y, x – 4y, xy, 2y], if y > 6 and the mean of the set equa..."
Topic 2 - Statistics,15,DS,20,,"What is the median value of the set R, if for every term in the set, Rn = Rn–1 + 3? (1) Th..."
Topic 2 - Statistics,16,DS,20,,"Peter, Paul, and Mary each received a passing score on his/her history midterm. The averag..."
Topic 2 - Statistics,17,PS,20,,"Set A: 3, x, 8, 10 Set B: 4, y, 9, 11. The terms of each set above are given in ascending..."
Topic 2 - Statistics,18,PS,21,,"Set S includes elements {8, 2, 11, x, 3, y} and has a mean of 7 and a median of 5.5. If x..."
Topic 2 - Statistics,19,DS,21,,"If set S consist of the numbers 1, 5, H2, 8, and n, is 0<n<7? (1) the median of the number..."
Topic 2 - Statistics,20,DS,21,,"Set S consists of five consecutive integers, and set T consists of seven consecutive integ..."
Topic 2 - Statistics,21,PS,21,,The temperatures in Celsius recorder at 6 in the morning in various parts of a certain cou...
Topic 2 - Statistics,22,PS,21,,"A student worked for 20 days. For each of the amounts shown in the first row of the table,..."
Topic 2 - Statistics,23,PS,21,,Score Number and Interval of Scores 50H59 2 60H69 10 70H79 16 80H89 27 90H99 18 The table...
Topic 2 - Statistics,24,PS,21,,Last month 15 homes were sold in Town X. The average (arithmetic mean) sale price of the h...
Topic 2 - Statistics,25,PS,21,,Five pieces of wood have an average (arithmetic mean) length of 124 centimeters and a medi...
Topic 2 - Statistics,26,PS,21,,Amy's grade was the 90th percentile of the 80 grades for her class. Of the 100 grades from...
Topic 2 - Statistics,1,PS,22,,"Set A, B, and C consist of the following elements: A {0, 3, 4, 2, 0, 4, 7, 8, 4, 17} B {20..."
Topic 2 - Statistics,2,DS,22,,The mode of a set of integers is x. What is the difference between the median of this set...
Topic 2 - Statistics,1,PS,22,,"If set X contains numbers {H21, 6, 19, 126, 1000} and set Y contains numbers {H21, 990, 99..."
Topic 2 - Statistics,2,PS,22,,"Set X consists of prime numbers {3, 11, 7, K, 17, 19}. If integer Y represents the product..."
Topic 2 - Statistics,3,PS,22,,What could be the range of a set consisting of odd multiples of 7? (A) 21 (B) 24 (C) 35 (D...
Topic 2 - Statistics,4,PS,22,,What is the range of a set consisting of the first 100 multiples of 7 that are greater tha...
Topic 2 - Statistics,5,PS,22,,Set X consists of all twoHdigit primes and set Y consists of all positive odd multiples of...
Topic 2 - Statistics,6,DS,22,,"At a business school conference with 100 attendees, are there any students of the same age..."
Topic 2 - Statistics,7,PS,22,,"Set A consists of integers {3, H8, Y, 19, H6} and Set B consists of integers {K, H3, 0, 16..."
Topic 2 - Statistics,8,DS,22,,"If two elements are dropped from set X {H10, H8, 0, 6, 7}, what will be the percentage cha..."
Topic 2 - Statistics,9,PS,22,,"If a randomly selected nonHnegative single digit integer is added to set X {2, 3, 7, 8}, w..."
Topic 2 - Statistics,10,DS,22,,"Set A consists of all positive integers less than 100; Set B consists of 10 integers, the..."
Topic 2 - Statistics,11,DS,22,,Set A consists of 8 distinct prime numbers. If x is equal to the range of set A and y is e...
Topic 2 - Statistics,12,DS,22,,"If set S = {7, y, 12, 8, x, 9}, is x + y less than 18? (1) The range of set S is less than..."
Topic 2 - Statistics,14,DS,23,,S is a set of positive integers. The average of the terms in S is equal to the range of th...
Topic 2 - Statistics,16,DS,23,,10 students took a chemistry exam that was graded on a scale of 0 to 100. Five of the stud...
Topic 2 - Statistics,17,DS,23,,x is an integer greater than 7. What is the median of the set of integers from 1 to x incl...
Topic 2 - Statistics,19,DS,23,,"The numbers of books read by 7 students last year were 10, 5, p, q, r, 29 and 20. What was..."
Topic 2 - Statistics,20,PS,23,,A set of 15 different integers have a range of 25 and a median of 25. What is greatest pos...
Topic 2 - Statistics,1,PS,23,,"Find the SD of 7, 8, 9 and 10."
Topic 2 - Statistics,2,PS,23,,Set A consists of all prime numbers between 10 and 25; Set B consists of consecutive even...
Topic 2 - Statistics,3,PS,24,,"Set A consists of all even integers between 2 and 100, inclusive. Set X is derived by redu..."
Topic 2 - Statistics,4,PS,24,,"If M is a negative integer and K is a positive integer, which of the following could be th..."
Topic 2 - Statistics,5,PS,24,,"Sets A, B and C are shown below. If number 100 is included in each of these sets, which of..."
Topic 2 - Statistics,6,DS,24,,"If sets X and Y have an equal number of elements, does set X have a greater standard devia..."
Topic 2 - Statistics,7,PS,24,,"The table below represents three sets of numbers with their respective medians, means and..."
